series,series-href,title,mid,mid-href
"The Legend of Zelda","http://www.ninsheetmusic.org/browse/series/TheLegendofZelda","Trendy Games","","http://www.ninsheetmusic.org/download/mid/1296"
"The Legend of Zelda","http://www.ninsheetmusic.org/browse/series/TheLegendofZelda","Open Door of Time","","http://www.ninsheetmusic.org/download/mid/1474"
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","Hinopio's Shop","","http://www.ninsheetmusic.org/download/mid/414"
"Pokémon","http://www.ninsheetmusic.org/browse/series/Pokemon","Battle! (Wild Pokémon - Kanto Version) (Two Pianos)","","http://www.ninsheetmusic.org/download/mid/2451"
"Metroid","http://www.ninsheetmusic.org/browse/series/Metroid","Item Found","","http://www.ninsheetmusic.org/download/mid/1522"
"EarthBound","http://www.ninsheetmusic.org/browse/series/EarthBound","Fallin' Love","","http://www.ninsheetmusic.org/download/mid/2448"
"Final Fantasy","http://www.ninsheetmusic.org/browse/series/FinalFantasy","Boss Battle","","http://www.ninsheetmusic.org/download/mid/884"
"More...","http://www.ninsheetmusic.org/browse/series/Other","Peace at Last","","http://www.ninsheetmusic.org/download/mid/3198"
"Pokémon","http://www.ninsheetmusic.org/browse/series/Pokemon","Pokémon Platinum Version","null",""
"Pokémon","http://www.ninsheetmusic.org/browse/series/Pokemon","Wild Pokémon Battle","","http://www.ninsheetmusic.org/download/mid/3490"
"Pokémon","http://www.ninsheetmusic.org/browse/series/Pokemon","The End","","http://www.ninsheetmusic.org/download/mid/2851"
"More...","http://www.ninsheetmusic.org/browse/series/Other","Earth Area (Day)","","http://www.ninsheetmusic.org/download/mid/1104"
"More...","http://www.ninsheetmusic.org/browse/series/Other","Gargoyle's Quest: Ghosts 'n Goblins","null",""
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","Wario Land II","null",""
"More...","http://www.ninsheetmusic.org/browse/series/Other","Shin Onigashima","null",""
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","Starship Mario 1","","http://www.ninsheetmusic.org/download/mid/867"
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","Blooper's Mad!","","http://www.ninsheetmusic.org/download/mid/1266"
"The Legend of Zelda","http://www.ninsheetmusic.org/browse/series/TheLegendofZelda","Gage's Duet","","http://www.ninsheetmusic.org/download/mid/1280"
"Pokémon","http://www.ninsheetmusic.org/browse/series/Pokemon","Time Gear Remix","","http://www.ninsheetmusic.org/download/mid/1329"
"Metroid","http://www.ninsheetmusic.org/browse/series/Metroid","Ending","","http://www.ninsheetmusic.org/download/mid/666"
"Mega Man","http://www.ninsheetmusic.org/browse/series/MegaMan","Select","","http://www.ninsheetmusic.org/download/mid/6"
"More...","http://www.ninsheetmusic.org/browse/series/Other","To the Moon","null",""
"Fire Emblem","http://www.ninsheetmusic.org/browse/series/FireEmblem","Battle Map 2: CP Attack","","http://www.ninsheetmusic.org/download/mid/3516"
"More...","http://www.ninsheetmusic.org/browse/series/Other","Interdimensional Voyage of a Ghostly Passenger Ship","","http://www.ninsheetmusic.org/download/mid/3322"
"Pokémon","http://www.ninsheetmusic.org/browse/series/Pokemon","Champion Cynthia","","http://www.ninsheetmusic.org/download/mid/570"
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","Cavi Cape (Duet)","","http://www.ninsheetmusic.org/download/mid/1584"
"Pokémon","http://www.ninsheetmusic.org/browse/series/Pokemon","Limestone Cavern","","http://www.ninsheetmusic.org/download/mid/2583"
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","Wildlands","","http://www.ninsheetmusic.org/download/mid/3023"
"More...","http://www.ninsheetmusic.org/browse/series/Other","Magical Starsign","null",""
"Star Fox","http://www.ninsheetmusic.org/browse/series/StarFox","Space Armada","","http://www.ninsheetmusic.org/download/mid/973"
"Pokémon","http://www.ninsheetmusic.org/browse/series/Pokemon","Burned Tower","","http://www.ninsheetmusic.org/download/mid/984"
"More...","http://www.ninsheetmusic.org/browse/series/Other","NGAHHH!!","","http://www.ninsheetmusic.org/download/mid/2691"
"The Legend of Zelda","http://www.ninsheetmusic.org/browse/series/TheLegendofZelda","Kotake & Koume's Theme","","http://www.ninsheetmusic.org/download/mid/1451"
"The Legend of Zelda","http://www.ninsheetmusic.org/browse/series/TheLegendofZelda","Light World Dungeon","","http://www.ninsheetmusic.org/download/mid/2122"
"Mega Man","http://www.ninsheetmusic.org/browse/series/MegaMan","Storm Owl","","http://www.ninsheetmusic.org/download/mid/515"
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","Overworld","","http://www.ninsheetmusic.org/download/mid/1941"
"Banjo-Kazooie","http://www.ninsheetmusic.org/browse/series/BanjoKazooie","Freezeezy Peak","","http://www.ninsheetmusic.org/download/mid/952"
"Animal Crossing","http://www.ninsheetmusic.org/browse/series/AnimalCrossing","7:00 A.M.","","http://www.ninsheetmusic.org/download/mid/2723"
"More...","http://www.ninsheetmusic.org/browse/series/Other","Conker's Bad Fur Day","null",""
"Banjo-Kazooie","http://www.ninsheetmusic.org/browse/series/BanjoKazooie","Wonderwing!","","http://www.ninsheetmusic.org/download/mid/496"
"Pokémon","http://www.ninsheetmusic.org/browse/series/Pokemon","Viridian Forest","","http://www.ninsheetmusic.org/download/mid/2581"
"The Legend of Zelda","http://www.ninsheetmusic.org/browse/series/TheLegendofZelda","The Last Guardian","","http://www.ninsheetmusic.org/download/mid/2299"
"The Legend of Zelda","http://www.ninsheetmusic.org/browse/series/TheLegendofZelda","Face Shrine","","http://www.ninsheetmusic.org/download/mid/1309"
"Animal Crossing","http://www.ninsheetmusic.org/browse/series/AnimalCrossing","5:00 P.M.","","http://www.ninsheetmusic.org/download/mid/2029"
"Donkey Kong","http://www.ninsheetmusic.org/browse/series/DonkeyKong","File Select","","http://www.ninsheetmusic.org/download/mid/1686"
"More...","http://www.ninsheetmusic.org/browse/series/Other","Wonder Boy","null",""
"Final Fantasy","http://www.ninsheetmusic.org/browse/series/FinalFantasy","Final Fantasy VI","null",""
"Final Fantasy","http://www.ninsheetmusic.org/browse/series/FinalFantasy","Chocobo","","http://www.ninsheetmusic.org/download/mid/1776"
"Banjo-Kazooie","http://www.ninsheetmusic.org/browse/series/BanjoKazooie","King Sandybutt's Maze","","http://www.ninsheetmusic.org/download/mid/589"
"Mega Man","http://www.ninsheetmusic.org/browse/series/MegaMan","Title","","http://www.ninsheetmusic.org/download/mid/719"
"Kirby","http://www.ninsheetmusic.org/browse/series/Kirby","Water","","http://www.ninsheetmusic.org/download/mid/1547"
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","Luigi's Mansion","null",""
"Pokémon","http://www.ninsheetmusic.org/browse/series/Pokemon","Union Cave","","http://www.ninsheetmusic.org/download/mid/2350"
"EarthBound","http://www.ninsheetmusic.org/browse/series/EarthBound","Home Sweet Home","","http://www.ninsheetmusic.org/download/mid/1223"
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","File Select","","http://www.ninsheetmusic.org/download/mid/2042"
"Tales","http://www.ninsheetmusic.org/browse/series/Tales","Tales of Symphonia","null",""
"Banjo-Kazooie","http://www.ninsheetmusic.org/browse/series/BanjoKazooie","Gruntilda's Lair (Mad Monster Mansion)","","http://www.ninsheetmusic.org/download/mid/1405"
"More...","http://www.ninsheetmusic.org/browse/series/Other","Elf Field","","http://www.ninsheetmusic.org/download/mid/491"
"Animal Crossing","http://www.ninsheetmusic.org/browse/series/AnimalCrossing","2:00 A.M.","","http://www.ninsheetmusic.org/download/mid/2003"
"More...","http://www.ninsheetmusic.org/browse/series/Other","Hell Field","","http://www.ninsheetmusic.org/download/mid/2606"
"The Legend of Zelda","http://www.ninsheetmusic.org/browse/series/TheLegendofZelda","Ooccoo's Theme","","http://www.ninsheetmusic.org/download/mid/1840"
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","Mario and Luigi's House","","http://www.ninsheetmusic.org/download/mid/2330"
"EarthBound","http://www.ninsheetmusic.org/browse/series/EarthBound","Mother Earth","","http://www.ninsheetmusic.org/download/mid/1964"
"EarthBound","http://www.ninsheetmusic.org/browse/series/EarthBound","Enjoy Your Stay","","http://www.ninsheetmusic.org/download/mid/1226"
"More...","http://www.ninsheetmusic.org/browse/series/Other","Snowdin Town","","http://www.ninsheetmusic.org/download/mid/3349"
"Pokémon","http://www.ninsheetmusic.org/browse/series/Pokemon","Victory! (Gym Leader Battle)","","http://www.ninsheetmusic.org/download/mid/2528"
"Kirby","http://www.ninsheetmusic.org/browse/series/Kirby","Checker Knights (Two Pianos)","","http://www.ninsheetmusic.org/download/mid/1559"
"Pokémon","http://www.ninsheetmusic.org/browse/series/Pokemon","Mt. Battle Lobby","","http://www.ninsheetmusic.org/download/mid/1982"
"EarthBound","http://www.ninsheetmusic.org/browse/series/EarthBound","Love and Peace","","http://www.ninsheetmusic.org/download/mid/1224"
"More...","http://www.ninsheetmusic.org/browse/series/Other","Main Theme (Two Pianos)","","http://www.ninsheetmusic.org/download/mid/1199"
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","World 4","","http://www.ninsheetmusic.org/download/mid/2417"
"More...","http://www.ninsheetmusic.org/browse/series/Other","The Doll Maker of Bucuresti","","http://www.ninsheetmusic.org/download/mid/3494"
"Golden Sun","http://www.ninsheetmusic.org/browse/series/GoldenSun","Jenna Battle Theme","","http://www.ninsheetmusic.org/download/mid/2058"
"The Legend of Zelda","http://www.ninsheetmusic.org/browse/series/TheLegendofZelda","Mini Boss (Dungeon)","","http://www.ninsheetmusic.org/download/mid/1595"
"Banjo-Kazooie","http://www.ninsheetmusic.org/browse/series/BanjoKazooie","Rusty Bucket Bay (Warehouse)","","http://www.ninsheetmusic.org/download/mid/464"
"More...","http://www.ninsheetmusic.org/browse/series/Other","Peaceful Days","","http://www.ninsheetmusic.org/download/mid/328"
"The Legend of Zelda","http://www.ninsheetmusic.org/browse/series/TheLegendofZelda","Kakariko Village","","http://www.ninsheetmusic.org/download/mid/1670"
"Pokémon","http://www.ninsheetmusic.org/browse/series/Pokemon","Ludicolo Dance","","http://www.ninsheetmusic.org/download/mid/2704"
"More...","http://www.ninsheetmusic.org/browse/series/Other","Bring It In, Guys!","","http://www.ninsheetmusic.org/download/mid/2711"
"EarthBound","http://www.ninsheetmusic.org/browse/series/EarthBound","Sunrise & Onett","","http://www.ninsheetmusic.org/download/mid/1221"
"Donkey Kong","http://www.ninsheetmusic.org/browse/series/DonkeyKong","Walrus Cove","","http://www.ninsheetmusic.org/download/mid/363"
"Pokémon","http://www.ninsheetmusic.org/browse/series/Pokemon","Battle! (Gym Leader-Johto Version) (Two Pianos)","","http://www.ninsheetmusic.org/download/mid/2702"
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","Yoshi's Song","","http://www.ninsheetmusic.org/download/mid/2874"
"Pokémon","http://www.ninsheetmusic.org/browse/series/Pokemon","Battle! (Team Galactic Boss)","","http://www.ninsheetmusic.org/download/mid/1614"
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","Mario Tennis","null",""
"Castlevania","http://www.ninsheetmusic.org/browse/series/Castlevania","Chapel","","http://www.ninsheetmusic.org/download/mid/187"
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","Fever","","http://www.ninsheetmusic.org/download/mid/442"
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","The Castle Crumbles - Tubba Blubba's Pirsuit","","http://www.ninsheetmusic.org/download/mid/440"
"More...","http://www.ninsheetmusic.org/browse/series/Other","Boss Battle","","http://www.ninsheetmusic.org/download/mid/2604"
